id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_1016900.1 21.23 25.46 20.75 45.89 153.31 395.1 568.64 265.4
PF3D7_1017100.1 12.33 1.72 0.51 0.38 6.17 35.56 60.72 142.79
PF3D7_1017300.2 2.73 0.8 0.92 3.45 32.33 51.59 42.35 16.01
PF3D7_1022300.1 0.09 0.11 0.06 0.22 4.58 25.42 18.76 4.63
PF3D7_1028700.1 111.92 19.37 2.58 1.81 4.02 23.55 66.46 97.6
PF3D7_1030200.1 9.08 1.96 0.54 0.77 1.3 2.17 3.2 23.61
PF3D7_1031000.1 1.32 1.19 1.7 4.23 12.79 10.12 10.46 9.78
PF3D7_1032500.1 0.57 1.19 3.2 11.22 46.08 75.06 109.94 74.63
PF3D7_1033200.1 3.91 4.7 15.43 79.25 399.21 280.08 464.04 244.27
PF3D7_1035200.1 108.37 13.44 1.94 1.1 0.45 2.69 284.69 1039.74
PF3D7_1035300.1 12.86 2.94 0.62 0.5 0.24 0.28 1.87 28.15
PF3D7_1035400.1 385.84 75.1 12.45 8.39 23.56 77.83 285.58 671.27
PF3D7_1035500.1 349.36 63.74 10.32 10.6 65.45 44.04 17.13 334.1
PF3D7_1035700.1 55.88 10.98 1.35 0.77 0.53 1.4 42.85 117.58
PF3D7_1036000.1 83.36 18.39 2.63 1.42 1.71 2.41 13.92 40.7
PF3D7_1036300.1 3.22 0.9 0.22 0.25 0.61 0.04 0.49 3.67
PF3D7_1039700.1 0.04 0.01 0.02 0.08 2.99 1.22 0.1 0.38
PF3D7_1039800.1 0.02 0.01 0.01 0.05 0.15 0 0.2 0.06
PF3D7_1039900.1 0.05 0.12 0.09 0.34 0.8 0.31 0.53 0.05
PF3D7_1040000.1 0.01 0.01 0 0 0.05 0.09 0 0
PF3D7_1040100.1 0 0 0 0 0.11 0.1 0 0
PF3D7_1040200.1 0 0 0 0.81 12.42 9.37 0.91 0.19
PF3D7_1040300.1 0.01 0.09 0.06 0.39 5.44 2.83 0.43 0.04
PF3D7_1040400.1 0.01 0 0.01 0 0.05 0 0.07 0
PF3D7_1040500.1 0.02 0 0 0.02 0.3 0.54 0 0.04
PF3D7_1040600.1 0 0 0 0.02 0.16 0 0 0
PF3D7_1040700.1 0 0 0 0.02 0 0 0 0
PF3D7_1040800.1 0.01 0.01 0 0.02 0.12 0 0.08 0
PF3D7_1040900.1 0.02 0 0.01 0.02 0.06 0.2 0 0
PF3D7_1041000.1 0.01 0.01 0.01 0.03 0.48 0.17 0 0.04
PF3D7_1041100.1 0.01 0 0 0 0.05 0.09 0 0.13
PF3D7_1100400.1 0.01 0 0.01 0 0.05 0.1 0 0
PF3D7_1100500.1 0 0 0.02 0.07 1.46 0.38 0.28 0.09
PF3D7_1100800.1 0.04 0.01 0.02 0.46 8.42 6.52 1.3 0.13
PF3D7_1101200.1 0 0 0 0 0 0.18 0 0
PF3D7_1101300.1 0.01 0.01 0.03 0.36 3.27 0.67 0.28 0.09
PF3D7_1101500.1 0.05 0.1 0.22 0.36 0.69 0.61 0.45 0.14
PF3D7_1101600.1 0.01 0.01 0.01 0.05 0.15 0.14 0 0.06
PF3D7_1101700.1 0 0.01 0.04 0.25 3.37 0.54 0.5 0.06
PF3D7_1101800.1 0.01 0.01 0.02 0.04 0.06 0 0.16 0
PF3D7_1102300.1 1.22 4.73 6.47 14.48 22.54 11.44 8.39 2.13
PF3D7_1102700.1 687.62 373.31 347.64 707.6 724.03 293.46 136.51 106.6
PF3D7_1102800.1 3126.71 1988.71 1372.19 1876.32 2114.14 721.6 300.15 590.84
PF3D7_1105600.1 24.17 10.78 7.22 19.94 67.7 68.11 49.03 13.74
PF3D7_1108600.1 7.26 8.65 23.57 96.54 339 894.1 1969.12 1212.99
PF3D7_1108700.1 2.34 4.69 6.83 22.32 70.15 115.36 201.84 133.49
PF3D7_1115600.1 2.85 2.34 3.61 14.49 54.45 150.61 479.03 463.13
PF3D7_1115900.1 3.31 1.76 0.83 1.5 4.89 8.04 12.34 19.1
PF3D7_1116000.1 13.46 2.62 0.57 0.52 1.26 5.06 32.47 143.71
PF3D7_1116700.1 15.34 12.6 16.32 61.78 273.87 233.42 168.21 38.29
PF3D7_1116800.1 55.74 24.06 20.7 52.14 97.5 51.82 35.08 13.16
PF3D7_1121600.1 298.17 145.85 122.74 518.71 3116.7 3161.77 2099.75 607.45
PF3D7_1124000.1 1.23 1.66 1.92 5 12.8 23.39 49.01 41.59
PF3D7_1127500.1 1.23 0.31 0.21 0.66 4.68 18.16 51.71 36.73
PF3D7_1129100.1 72.06 47.54 49.47 163.94 904.13 793.02 645.41 216.49
PF3D7_1133400.1 62.06 14.01 2.21 1.05 0.83 3.08 22.51 43.9
PF3D7_1134100.1 0.4 0.17 0.42 1.84 14.57 50.97 88.64 45.95
PF3D7_1136200.1 5.47 0.98 0.22 0.22 0.55 1.85 14.71 74.01
PF3D7_1136900.1 8.8 3.21 1.1 1.57 2.09 3.4 2.98 8.24
